stop_id,lat,lng,next_segment
tarumizu_hp,31.490159,130.694651,tarumizu_hp_to_tarumizu
tarumizu,31.493524,130.698141,tarumizu_to_tarumizu_port
tarumizu_port,31.484379,130.691933,tarumizu_port_to_minatohira
minatohira,31.482437,130.695787,minatohira_to_miyawaki
miyawaki,31.453079,130.727626,miyawaki_to_shinjo
shinjo,31.428793,130.754004,shinjo_to_furue
furue,31.404687,130.768865,furue_to_taiikudai
taiikudai,31.396967,130.790093,taiikudai_to_kokutai
kokutai,31.383189,130.833421,kokutai_to_joshiko
joshiko,31.385247,130.837474,joshiko_to_kanoya
kanoya,31.388796,130.850184,kanoya_to_shiyakusho
shiyakusho,31.377970,130.853541,shiyakusho_to_kotobuki
kotobuki,31.386092,130.859959,kotobuki_to_higashikasanohara
higashikasanohara,31.388443,130.894665,higashikasanohara_to_kushira_shogyo
kushira_shogyo,31.393151,130.949048,kushira_shogyo_to_kushira
kushira,31.390436,130.958051,kushira_to_higashikushira
higashikushira,31.392449,130.964758,higashikushira_to_osaki
osaki,31.425655,131.006603,osaki_to_asuparu
asuparu,31.438018,131.030553,asuparu_to_oshigiri
oshigiri,31.454034,131.059900,oshigiri_to_chigomatsu
chigomatsu,31.467846,131.084385,chigomatsu_to_shibushi_hs
shibushi_hs,31.469702,131.087679,shibushi_hs_to_shibushi_eki_ue
shibushi_eki_ue,31.473732,131.096056,shibushi_eki_ue_to_shibushi_eki_mae
shibushi_eki_mae,31.472627,131.097853,shibushi_eki_mae_to_shibushi
shibushi,31.475095,131.099914,shibushi_to_shibushi_port_ent
shibushi_port_ent,31.475628,131.108188,shibushi_port_ent_to_shibushi_port
shibushi_port,31.461058,131.097941,
