stop_id,lat,lng,next_segment
tarumizu_hp,31.490159,130.694651,tarumizu_hp_to_tarumizu
tarumizu,31.493524,130.698141,tarumizu_to_minatohira
minatohira,31.482437,130.695787,minatohira_to_miyawaki
miyawaki,31.453079,130.727626,miyawaki_to_shinjo
shinjo,31.428793,130.754004,shinjo_to_furue
furue,31.404687,130.768865,furue_to_arahira
arahira,31.377598,130.780771,arahira_to_takasu
takasu,31.349269,130.795443,takasu_to_sakamoto
sakamoto,31.328407,130.803748,sakamoto_to_kamikawa
kamikawa,31.274389,130.795719,kamikawa_to_onejime
onejime,31.245597,130.786845,onejime_to_nejime_port
nejime_port,31.215924,130.763115,nejime_port_to_neppy
neppy,31.214103,130.764539,neppy_to_nejime
nejime,31.213513,130.774494,nejime_to_ohama
ohama,31.190440,130.765898,ohama_to_tategami
tategami,31.161119,130.757330,tategami_to_sata
sata,31.094073,130.690527,
