type,id,lat,lng
stop,tarumizu_hp,31.490159,130.694651
point,1,31.493643,130.697800
stop,tarumizu,31.493524,130.698141
point,2,31.492235,130.701529
point,3,31.483116,130.695789
point,4,31.482536,130.692773
point,5,31.484144,130.692657
stop,tarumizu_port,31.484379,130.691933
point,6,31.484144,130.692657
point,7,31.482536,130.692773
point,8,31.483116,130.695789
stop,minatohira,31.482437,130.695787
point,9,31.471815,130.697219
point,10,31.461371,130.703026
point,11,31.458818,130.706341
point,12,31.454886,130.724357
stop,miyawaki,31.453079,130.727626
point,13,31.449383,130.733917
point,14,31.443892,130.737535
point,15,31.442364,130.739220
point,16,31.437540,130.744806
point,17,31.430622,130.751038
stop,shinjo,31.428793,130.754004
point,18,31.427349,130.756075
point,19,31.425426,130.756708
point,20,31.423531,130.758875
point,21,31.422075,130.759208
point,22,31.419512,130.758532
point,23,31.413238,130.761027
point,24,31.412315,130.761034
point,25,31.407011,130.766477
stop,furue,31.404687,130.768865
point,t9,31.401295,130.771485
point,t10,31.402069,130.772173
point,t11,31.399748,130.774822
point,t12,31.399475,130.773893
point,t13,31.393725,130.777493
stop,taiikudai,31.396967,130.790093
point,a26,31.403789,130.769344
point,a27,31.403019,130.769054
point,a28,31.401802,130.769619
point,a29,31.399882,130.770696
point,a30,31.399882,130.770696
point,a31,31.399417,130.770450
point,a32,31.399035,130.769347
point,a33,31.397940,130.769097
point,a34,31.390726,130.772282
point,a35,31.389528,130.773501
point,a36,31.388504,130.775695
point,a37,31.387186,130.776525
point,a38,31.381729,130.777086
point,a39,31.380727,130.777858
point,a40,31.379921,130.778164
stop,arahira,31.377607,130.780786
point,a41,31.374764,130.781176
point,a42,31.374141,130.780973
point,a43,31.373197,130.780298
point,a44,31.372166,130.780141
point,a45,31.371590,130.780340
point,a46,31.370545,130.781098
point,a47,31.370049,130.781359
point,a48,31.369158,130.781547
point,a49,31.368552,130.782016
point,a50,31.367857,130.783576
point,a51,31.367304,130.784132
point,a52,31.366271,130.784894
point,a53,31.365475,130.785218
point,a54,31.363886,130.785037
point,a55,31.363292,130.785336
point,a56,31.363066,130.785910
point,a57,31.363012,130.786894
point,a58,31.362112,130.788522
point,a59,31.360097,130.790475
point,a60,31.359028,130.790733
point,a61,31.358261,130.791769
point,a62,31.357083,130.792097
point,a63,31.355402,130.791714
point,a64,31.354196,130.792006
point,a65,31.353507,130.792048
point,a66,31.351719,130.793015
point,a67,31.351523,130.793439
point,a68,31.351534,130.794782
point,a69,31.352034,130.795436
point,a70,31.351998,130.795944
point,a71,31.351760,130.796132
point,a72,31.349710,130.795585
point,a73,31.346589,130.794483
point,a74,31.345623,130.796303
point,a75,31.345404,130.796593
point,a76,31.342897,130.799450
point,a77,31.344121,130.799214
stop,takasu,31.349268,130.795445
point,a78,31.344715,130.799394
point,a79,31.342832,130.799332
point,a80,31.346984,130.794301
point,a81,31.345321,130.800146
point,a82,31.349710,130.795585
point,a83,31.346468,130.802365
point,a84,31.347389,130.803165
point,a85,31.349587,130.804285
point,a86,31.350353,130.804278
point,a87,31.350983,130.803819
point,a88,31.351803,130.802741
point,a89,31.352682,130.802442
point,a90,31.354472,130.802590
point,a91,31.354807,130.803303
point,a92,31.355889,130.804621
point,a93,31.357918,130.806405
point,a94,31.358628,130.808259
point,a95,31.358477,130.811084
point,a96,31.358792,130.813254
point,a97,31.359751,130.814629
point,a98,31.359926,130.815325
point,a99,31.360065,130.817080
point,a100,31.360990,130.818993
point,a101,31.362220,130.822315
stop,okamura,31.362849,130.823388
point,a102,31.363625,130.824626
point,a103,31.368011,130.824824
point,a104,31.370659,130.823258
point,a105,31.370804,130.823769
point,a106,31.382468,130.831226
point,a107,31.382661,130.831586
stop,kokutai,31.383189,130.833421
point,108,31.383485,130.834733
stop,joshiko,31.385247,130.837474
point,109,31.387616,130.841073
point,110,31.387668,130.844085
point,111,31.388262,130.845933
point,112,31.389052,130.846857
point,113,31.388189,130.849964
point,114,31.389648,130.850489
point,115,31.390082,130.850827
point,116,31.390422,130.850269
point,117,31.389946,130.849902
point,118,31.389648,130.850489
stop,kanoya,31.388796,130.850184
point,119,31.388189,130.849964
point,120,31.387664,130.849863
point,121,31.386410,130.850139
point,122,31.385573,130.850715
point,123,31.384776,130.851452
point,124,31.382442,130.852595
point,125,31.379550,130.852864
stop,shiyakusho,31.377970,130.853541
point,126,31.377524,130.853784
point,127,31.376869,130.854085
point,128,31.375746,130.855794
point,129,31.375059,130.856856
point,130,31.374541,130.857091
point,131,31.372595,130.857436
point,132,31.371222,130.857952
point,133,31.370548,130.857854
point,134,31.369918,130.857637
point,h135,31.368741,130.860788
point,h136,31.367007,130.861936
point,h9135,31.367697,130.856686
point,h9136,31.366389,130.855654
point,h9137,31.365287,130.852802
point,h9138,31.364158,130.851121
point,h9139,31.364158,130.851121
point,h9140,31.361052,130.859812
point,h9141,31.361588,130.859662
point,h9142,31.362605,130.859211
point,h9143,31.363186,130.859195
stop,hirabaru,31.363713,130.859007
point,h9144,31.363502,130.862387
point,h9145,31.363335,130.863240
point,h9146,31.363335,130.863905
point,137,31.363059,130.866439
point,138,31.362683,130.868391
point,139,31.362456,130.869015
point,140,31.361489,130.870745
point,141,31.360740,130.873158
stop,kawanishi,31.359627,130.875485
point,142,31.359336,130.876149
point,143,31.358590,130.877441
point,144,31.358389,130.877726
point,145,31.357303,130.878793
point,146,31.354606,130.880717
point,147,31.354359,130.881229
point,148,31.352281,130.886064
point,149,31.350862,130.887676
point,150,31.350549,130.887834
point,151,31.350010,130.887885
point,152,31.349867,130.888080
point,153,31.349153,130.889833
point,154,31.349233,130.890585
point,155,31.348900,130.892498
point,156,31.348087,130.893914
point,157,31.344621,130.897178
stop,myoshu,31.344205,130.898547
point,m158,31.343889,130.898774
point,m159,31.343365,130.898663
point,m160,31.342762,130.898199
point,m161,31.341870,130.897973
point,m162,31.341097,130.896902
point,m163,31.339621,130.896515
point,m164,31.336354,130.897859
point,m165,31.335336,130.897782
point,m166,31.334270,130.897462
point,m167,31.333657,130.896965
point,m168,31.330723,130.898301
point,m169,31.330053,130.898124
stop,aira,31.327724,130.898831
point,m170,31.328156,130.901436
point,m171,31.328246,130.902179
point,m172,31.328331,130.904381
point,m173,31.328609,130.904940
point,m174,31.328791,130.906614
point,m175,31.328602,130.908270
point,m176,31.329930,130.910480
point,m177,31.334582,130.913691
point,m178,31.335519,130.914399
point,m179,31.337729,130.916344
point,m180,31.338409,130.916637
point,m181,31.339126,130.916693
point,m182,31.339713,130.917031
point,m183,31.339940,130.917561
point,m184,31.340389,130.919414
point,m185,31.340389,130.919896
point,m186,31.339972,130.920712
point,m187,31.339933,130.921524
point,m188,31.340015,130.922979
point,m9158,31.344202,130.899337
point,m9159,31.343911,130.904095
point,m9160,31.343730,130.911034
stop,ronjibashi,31.343900,130.916561
point,m9161,31.343904,130.916656
point,m9162,31.344273,130.917587
point,m9163,31.344245,130.918385
point,m9164,31.343849,130.919486
point,m9165,31.343547,130.920691
point,m9166,31.342605,130.921794
point,m9167,31.341626,130.923524
point,189,31.340542,130.924147
point,190,31.341097,130.926901
point,191,31.343425,130.931923
point,192,31.343948,130.932846
point,193,31.344465,130.934246
point,194,31.347191,130.939068
point,195,31.347159,130.939659
point,196,31.347022,130.940699
stop,sakashita,31.347045,130.941847
point,197,31.346956,130.942420
point,198,31.346302,130.943400
point,199,31.346791,130.943919
point,200,31.346816,130.944814
stop,koyama,31.347018,130.945490
point,u201,31.347681,130.947631
point,u202,31.347039,130.952720
point,u203,31.346864,130.952991
point,u204,31.346070,130.953485
point,u205,31.346109,130.955512
point,u206,31.345770,130.956960
point,u207,31.345667,130.958144
point,u208,31.345381,130.958931
point,u209,31.345294,130.959826
point,u210,31.345010,130.960223
point,u211,31.342977,130.961277
point,u212,31.342730,130.961942
point,u213,31.343087,130.963042
point,u214,31.342778,130.965118
point,u215,31.342287,130.967006
point,u216,31.342287,130.967006
point,u217,31.341655,130.971318
point,u218,31.342080,130.973730
point,u219,31.342789,130.974725
point,u220,31.344085,130.977685
point,u221,31.344783,130.978451
point,u222,31.345077,130.979599
point,u223,31.348419,130.987338
point,u224,31.349112,130.988395
point,u225,31.350769,130.992908
point,u226,31.352060,130.997701
point,u227,31.352877,130.998906
point,u228,31.353351,131.001456
point,u229,31.353713,131.002311
point,u230,31.353836,131.003922
point,u231,31.353644,131.004269
point,u232,31.353247,131.005672
point,u233,31.353316,131.007593
stop,ariakebashi,31.356039,131.008729
point,u300,31.356671,131.012905
point,u301,31.357071,131.014267
point,u302,31.356977,131.015982
point,u303,31.356503,131.017603
point,u304,31.356532,131.018458
point,u305,31.355540,131.019768
point,u306,31.354535,131.022197
point,u307,31.353979,131.023741
point,u308,31.353537,131.027164
point,u309,31.353162,131.028933
point,u310,31.352179,131.031910
stop,kaizo,31.326903,131.099598
point,u400,31.317200,131.094471
point,u401,31.304866,131.086333
point,u402,31.302602,131.087469
point,u403,31.297183,131.084458
point,u404,31.292365,131.075001
point,u405,31.292831,131.074046
point,u406,31.288160,131.070578
point,u407,31.282335,131.071704
point,u408,31.277101,131.075733
stop,uchinoura,31.275280,131.078003
point,s500,31.347681,130.947631
point,s501,31.347309,130.950618
point,s502,31.349336,130.951009
point,s503,31.349775,130.951134
point,s504,31.350374,130.949112
point,s505,31.351156,130.947545
point,s506,31.351627,130.947855
point,s507,31.351935,130.947842
point,s508,31.354111,130.947062
point,s509,31.354863,130.947075
point,s510,31.360957,130.947382
point,s511,31.364637,130.946047
point,s512,31.366256,130.946411
point,s513,31.368148,130.948004
stop,shimobaru,31.370148,130.948539
point,s514,31.374323,130.948751
point,s515,31.375534,130.948675
point,s516,31.378006,130.949669
point,s517,31.379211,130.954752
point,s518,31.380351,130.956421
point,s519,31.383576,130.958591
point,s520,31.385933,130.958530
point,s521,31.387449,130.958955
stop,eiwa,31.389754,130.958803
point,s522,31.390622,130.958727
stop,higashikushira,31.392449,130.964758
point,s523,31.393444,130.966460
point,s524,31.395977,130.965899
point,s525,31.418260,131.000648
point,s526,31.424357,131.003523
stop,osaki,31.425655,131.006603
point,s527,31.426336,131.010797
point,s528,31.439080,131.030455
point,s532,31.445038,131.044358
point,s533,31.444955,131.047801
point,s534,31.449652,131.055638
stop,oshigiri,31.454034,131.059900
point,s535,31.463941,131.072902
point,s536,31.467846,131.084385
stop,chigomatsu,31.467846,131.084385
stop,shibushi_hs,31.469702,131.087679
point,s537,31.472756,131.093110
stop,shibushi_eki_ue,31.473732,131.096056
point,s538,31.473974,131.096821
stop,shibushi_eki_mae,31.472627,131.097853
point,s539,31.473974,131.096821
stop,shibushi,31.475095,131.099914
point,s540,31.477696,131.107742
point,s541,31.477127,131.108532
stop,shibushi_port_ent,31.475628,131.108188
point,s542,31.475338,131.106921
point,s543,31.469694,131.101716
point,s544,31.469992,131.097301
point,s545,31.467137,131.093834
point,s546,31.462101,131.095827
stop,shibushi_port,31.461058,131.097941
