trip_id,day_type,stop_id,time
垂水(06:10)→志布志港入口,daily,tarumizu,06:10:00
垂水(06:10)→志布志港入口,daily,tarumizu_port,06:15:00
垂水(06:10)→志布志港入口,daily,minatohira,06:18:00
垂水(06:10)→志布志港入口,daily,miyawaki,06:26:00
垂水(06:10)→志布志港入口,daily,shinjo,06:32:00
垂水(06:10)→志布志港入口,daily,furue,06:37:00
垂水(06:10)→志布志港入口,daily,taiikudai,06:43:00
垂水(06:10)→志布志港入口,daily,kokutai,06:52:00
垂水(06:10)→志布志港入口,daily,joshiko,06:53:00
垂水(06:10)→志布志港入口,daily,kanoya,07:05:00
垂水(06:10)→志布志港入口,daily,shiyakusho,07:09:00
垂水(06:10)→志布志港入口,daily,kotobuki,07:15:00
垂水(06:10)→志布志港入口,daily,higashikasanohara,07:25:00
垂水(06:10)→志布志港入口,daily,kushira,07:35:00
垂水(06:10)→志布志港入口,daily,higashikushira,07:37:00
垂水(06:10)→志布志港入口,daily,osaki,07:46:00
垂水(06:10)→志布志港入口,daily,oshigiri,07:57:00
垂水(06:10)→志布志港入口,daily,chigomatsu,08:03:00
垂水(06:10)→志布志港入口,daily,shibushi_hs,08:04:00
垂水(06:10)→志布志港入口,daily,shibushi_eki_ue,08:07:00
垂水(06:10)→志布志港入口,daily,shibushi_eki_mae,08:08:00
垂水(06:10)→志布志港入口,daily,shibushi,08:09:00
垂水(06:10)→志布志港入口,daily,shibushi_port_ent,08:13:00
志布志港入口(06:45)→鹿屋,daily,shibushi_port_ent,06:45:00
志布志港入口(06:45)→鹿屋,daily,shibushi,06:49:00
志布志港入口(06:45)→鹿屋,daily,shibushi_eki_mae,06:50:00
志布志港入口(06:45)→鹿屋,daily,shibushi_eki_ue,06:51:00
志布志港入口(06:45)→鹿屋,daily,shibushi_hs,06:54:00
志布志港入口(06:45)→鹿屋,daily,chigomatsu,06:55:00
志布志港入口(06:45)→鹿屋,daily,oshigiri,07:01:00
志布志港入口(06:45)→鹿屋,daily,osaki,07:12:00
志布志港入口(06:45)→鹿屋,daily,higashikushira,07:21:00
志布志港入口(06:45)→鹿屋,daily,kushira,07:23:00
志布志港入口(06:45)→鹿屋,daily,kushira_shogyo,07:25:00
志布志港入口(06:45)→鹿屋,daily,higashikasanohara,07:35:00
志布志港入口(06:45)→鹿屋,daily,kotobuki,07:43:00
志布志港入口(06:45)→鹿屋,daily,shiyakusho,07:49:00
志布志港入口(06:45)→鹿屋,daily,kanoya,07:55:00
