trip_id,day_type,stop_id,time
佐多(07:45)→鹿屋,daily,sata,07:45:00
佐多(07:45)→鹿屋,daily,tategami,08:01:00
佐多(07:45)→鹿屋,daily,ohama,08:07:00
佐多(07:45)→鹿屋,daily,nejime,08:13:00
佐多(07:45)→鹿屋,daily,neppy,08:16:00
佐多(07:45)→鹿屋,daily,onejime,08:24:00
佐多(07:45)→鹿屋,daily,kamikawa,08:32:00
佐多(07:45)→鹿屋,daily,sakamoto,08:42:00
佐多(07:45)→鹿屋,daily,oaira,08:48:00
佐多(07:45)→鹿屋,daily,yokoyama,08:52:00
佐多(07:45)→鹿屋,daily,shiyakusho,08:59:00
佐多(07:45)→鹿屋,daily,kanoya,09:05:00
根占(10:50)→垂水港,daily,nejime,10:50:00
根占(10:50)→垂水港,daily,neppy,10:53:00
根占(10:50)→垂水港,daily,nejime_port,10:54:00
根占(10:50)→垂水港,daily,onejime,11:02:00
根占(10:50)→垂水港,daily,kamikawa,11:10:00
根占(10:50)→垂水港,daily,sakamoto,11:20:00
根占(10:50)→垂水港,daily,oaira,11:26:00
根占(10:50)→垂水港,daily,yokoyama,11:30:00
根占(10:50)→垂水港,daily,shiyakusho,11:37:00
根占(10:50)→垂水港,daily,kanoya,11:43:00
根占(10:50)→垂水港,daily,furue,11:50:00
根占(10:50)→垂水港,daily,tarumizu_port,12:32:00
垂水港(11:07)→根占,daily,tarumizu_port,11:07:00
垂水港(11:07)→根占,daily,minatohira,11:09:00
垂水港(11:07)→根占,daily,miyawaki,11:17:00
垂水港(11:07)→根占,daily,shinjo,11:23:00
垂水港(11:07)→根占,daily,furue,11:28:00
垂水港(11:07)→根占,daily,takasu,11:41:00
垂水港(11:07)→根占,daily,sakamoto,11:45:00
垂水港(11:07)→根占,daily,kamikawa,11:55:00
垂水港(11:07)→根占,daily,onejime,12:03:00
垂水港(11:07)→根占,daily,neppy,12:11:00
垂水港(11:07)→根占,daily,nejime,12:14:00
