trip_id,stop_id,time
bus101-1,tarumizu_hp,19:00:00
bus101-1,tarumizu,19:02:00
bus101-1,tarumizu_port,19:04:00
bus101-1,minatohira,19:06:00
bus101-1,miyawaki,19:08:00
bus101-1,shinjo,19:10:00
bus101-1,furue,19:12:00
bus101-1,taiikudai,19:14:00
bus101-1,kokutai,19:16:00
bus101-1,joshiko,19:18:00
bus101-1,kanoya,19:20:00
bus101-1,kotobuki,19:22:00
bus101-1,higashikasanohara,19:24:00
bus101-1,kushira_shogyo,19:26:00
bus101-1,kushira,19:28:00
bus101-1,higashikushira,19:30:00
bus101-1,osaki,19:32:00
bus101-1,oshigiri,19:34:00
bus101-1,chigomatsu,19:36:00
bus101-1,shibushi_hs,19:38:00
bus101-1,shibushi_eki_ue,19:40:00
bus101-1,shibushi_eki_mae,19:42:00
bus101-1,shibushi,19:44:00
bus101-1,shibushi_port_ent,19:46:00
bus101-1,shibushi_port,19:48:00
bus101-2,kanoya,19:02:00
bus101-2,shiyakusho,19:04:00
bus101-2,kotobuki,19:06:00
bus101-2,higashikasanohara,19:08:00
bus101-2,kushira_shogyo,19:10:00
bus101-2,kushira,19:12:00
bus101-2,higashikushira,19:14:00
bus101-2,osaki,19:16:00
bus101-2,asuparu,19:18:00
bus101-2,oshigiri,19:20:00
bus101-2,chigomatsu,19:22:00
bus101-2,shibushi_hs,19:24:00
bus101-2,shibushi_eki_ue,19:26:00
bus101-2,shibushi_eki_mae,19:28:00
bus101-2,shibushi,19:30:00
bus101-2,shibushi_port_ent,19:32:00
bus101-2,shibushi_port,19:34:00
bus101-3,tarumizu_hp,19:04:00
bus101-3,tarumizu,19:06:00
bus101-3,tarumizu_port,19:08:00
bus101-3,minatohira,19:10:00
bus101-3,miyawaki,19:12:00
bus101-3,shinjo,19:14:00
bus101-3,furue,19:16:00
bus101-3,taiikudai,19:18:00
bus101-3,kokutai,19:20:00
bus101-3,joshiko,19:22:00
bus101-3,kanoya,19:24:00
bus101-3,shiyakusho,19:26:00
bus101-3,kotobuki,19:28:00
bus101-3,higashikasanohara,19:30:00
bus101-3,kushira_shogyo,19:32:00
bus101-3,kushira,19:34:00
bus101-3,higashikushira,19:36:00
bus101-3,osaki,19:38:00
bus101-3,asuparu,19:40:00
bus101-3,oshigiri,19:42:00
bus101-3,chigomatsu,19:44:00
bus101-3,shibushi_hs,19:46:00
bus101-3,shibushi_eki_ue,19:48:00
bus101-3,shibushi_eki_mae,19:50:00
bus101-3,shibushi,19:52:00
bus101-3,shibushi_port_ent,19:54:00
bus101-3,shibushi_port,19:56:00
bus101-4,tarumizu_hp,19:06:00
bus101-4,tarumizu,19:08:00
bus101-4,tarumizu_port,19:10:00
bus101-4,minatohira,19:12:00
bus101-4,miyawaki,19:14:00
bus101-4,shinjo,19:16:00
bus101-4,furue,19:18:00
bus101-4,taiikudai,19:20:00
bus101-4,kokutai,19:22:00
bus101-4,joshiko,19:24:00
bus101-4,kanoya,19:26:00
bus101-4,kotobuki,19:28:00
bus101-4,higashikasanohara,19:30:00
bus101-4,kushira_shogyo,19:32:00
bus101-4,kushira,19:34:00
bus101-4,higashikushira,19:36:00
bus101-4,osaki,19:38:00
bus101-4,oshigiri,19:40:00
bus101-4,chigomatsu,19:42:00
bus101-4,shibushi_hs,19:44:00
bus101-4,shibushi_eki_ue,19:46:00
bus101-4,shibushi_eki_mae,19:48:00
bus101-4,shibushi,19:50:00
bus101-4,shibushi_port_ent,19:52:00
bus101-4,shibushi_port,19:54:00
bus101-5,kanoya,19:08:00
bus101-5,shiyakusho,19:10:00
bus101-5,kotobuki,19:12:00
bus101-5,higashikasanohara,19:14:00
bus101-5,kushira_shogyo,19:16:00
bus101-5,kushira,19:18:00
bus101-5,higashikushira,19:20:00
bus101-5,osaki,19:22:00
bus101-5,asuparu,19:24:00
bus101-5,oshigiri,19:26:00
bus101-5,chigomatsu,19:28:00
bus101-5,shibushi_hs,19:30:00
bus101-5,shibushi_eki_ue,19:32:00
bus101-5,shibushi_eki_mae,19:34:00
bus101-5,shibushi,19:36:00
bus101-5,shibushi_port_ent,19:38:00
bus101-5,shibushi_port,19:40:00
bus101-6,tarumizu_hp,19:10:00
bus101-6,tarumizu,19:12:00
bus101-6,tarumizu_port,19:14:00
bus101-6,minatohira,19:16:00
bus101-6,miyawaki,19:18:00
bus101-6,shinjo,19:20:00
bus101-6,furue,19:22:00
bus101-6,taiikudai,19:24:00
bus101-6,kokutai,19:26:00
bus101-6,joshiko,19:28:00
bus101-6,kanoya,19:30:00
bus101-6,shiyakusho,19:32:00
bus101-6,kotobuki,19:34:00
bus101-6,higashikasanohara,19:36:00
bus101-6,kushira_shogyo,19:38:00
bus101-6,kushira,19:40:00
bus101-6,higashikushira,19:42:00
bus101-6,osaki,19:44:00
bus101-6,asuparu,19:46:00
bus101-6,oshigiri,19:48:00
bus101-6,chigomatsu,19:50:00
bus101-6,shibushi_hs,19:52:00
bus101-6,shibushi_eki_ue,19:54:00
bus101-6,shibushi_eki_mae,19:56:00
bus101-6,shibushi,19:58:00
bus101-6,shibushi_port_ent,20:00:00
bus101-6,shibushi_port,20:02:00
bus101-7,tarumizu_hp,19:12:00
bus101-7,tarumizu,19:14:00
bus101-7,tarumizu_port,19:16:00
bus101-7,minatohira,19:18:00
bus101-7,miyawaki,19:20:00
bus101-7,shinjo,19:22:00
bus101-7,furue,19:24:00
bus101-7,taiikudai,19:26:00
bus101-7,kokutai,19:28:00
bus101-7,joshiko,19:30:00
bus101-7,kanoya,19:32:00
bus101-7,kotobuki,19:34:00
bus101-7,higashikasanohara,19:36:00
bus101-7,kushira_shogyo,19:38:00
bus101-7,kushira,19:40:00
bus101-7,higashikushira,19:42:00
bus101-7,osaki,19:44:00
bus101-7,oshigiri,19:46:00
bus101-7,chigomatsu,19:48:00
bus101-7,shibushi_hs,19:50:00
bus101-7,shibushi_eki_ue,19:52:00
bus101-7,shibushi_eki_mae,19:54:00
bus101-7,shibushi,19:56:00
bus101-7,shibushi_port_ent,19:58:00
bus101-7,shibushi_port,20:00:00
bus101-8,kanoya,19:14:00
bus101-8,shiyakusho,19:16:00
bus101-8,kotobuki,19:18:00
bus101-8,higashikasanohara,19:20:00
bus101-8,kushira_shogyo,19:22:00
bus101-8,kushira,19:24:00
bus101-8,higashikushira,19:26:00
bus101-8,osaki,19:28:00
bus101-8,asuparu,19:30:00
bus101-8,oshigiri,19:32:00
bus101-8,chigomatsu,19:34:00
bus101-8,shibushi_hs,19:36:00
bus101-8,shibushi_eki_ue,19:38:00
bus101-8,shibushi_eki_mae,19:40:00
bus101-8,shibushi,19:42:00
bus101-8,shibushi_port_ent,19:44:00
bus101-8,shibushi_port,19:46:00
bus101-9,tarumizu_hp,19:16:00
bus101-9,tarumizu,19:18:00
bus101-9,tarumizu_port,19:20:00
bus101-9,minatohira,19:22:00
bus101-9,miyawaki,19:24:00
bus101-9,shinjo,19:26:00
bus101-9,furue,19:28:00
bus101-9,taiikudai,19:30:00
bus101-9,kokutai,19:32:00
bus101-9,joshiko,19:34:00
bus101-9,kanoya,19:36:00
bus101-9,shiyakusho,19:38:00
bus101-9,kotobuki,19:40:00
bus101-9,higashikasanohara,19:42:00
bus101-9,kushira_shogyo,19:44:00
bus101-9,kushira,19:46:00
bus101-9,higashikushira,19:48:00
bus101-9,osaki,19:50:00
bus101-9,asuparu,19:52:00
bus101-9,oshigiri,19:54:00
bus101-9,chigomatsu,19:56:00
bus101-9,shibushi_hs,19:58:00
bus101-9,shibushi_eki_ue,20:00:00
bus101-9,shibushi_eki_mae,20:02:00
bus101-9,shibushi,20:04:00
bus101-9,shibushi_port_ent,20:06:00
bus101-9,shibushi_port,20:08:00
bus101-10,tarumizu_hp,19:18:00
bus101-10,tarumizu,19:20:00
bus101-10,tarumizu_port,19:22:00
bus101-10,minatohira,19:24:00
bus101-10,miyawaki,19:26:00
bus101-10,shinjo,19:28:00
bus101-10,furue,19:30:00
bus101-10,taiikudai,19:32:00
bus101-10,kokutai,19:34:00
bus101-10,joshiko,19:36:00
bus101-10,kanoya,19:38:00
bus101-10,kotobuki,19:40:00
bus101-10,higashikasanohara,19:42:00
bus101-10,kushira_shogyo,19:44:00
bus101-10,kushira,19:46:00
bus101-10,higashikushira,19:48:00
bus101-10,osaki,19:50:00
bus101-10,oshigiri,19:52:00
bus101-10,chigomatsu,19:54:00
bus101-10,shibushi_hs,19:56:00
bus101-10,shibushi_eki_ue,19:58:00
bus101-10,shibushi_eki_mae,20:00:00
bus101-10,shibushi,20:02:00
bus101-10,shibushi_port_ent,20:04:00
bus101-10,shibushi_port,20:06:00
bus101-11,kanoya,19:20:00
bus101-11,shiyakusho,19:22:00
bus101-11,kotobuki,19:24:00
bus101-11,higashikasanohara,19:26:00
bus101-11,kushira_shogyo,19:28:00
bus101-11,kushira,19:30:00
bus101-11,higashikushira,19:32:00
bus101-11,osaki,19:34:00
bus101-11,asuparu,19:36:00
bus101-11,oshigiri,19:38:00
bus101-11,chigomatsu,19:40:00
bus101-11,shibushi_hs,19:42:00
bus101-11,shibushi_eki_ue,19:44:00
bus101-11,shibushi_eki_mae,19:46:00
bus101-11,shibushi,19:48:00
bus101-11,shibushi_port_ent,19:50:00
bus101-11,shibushi_port,19:52:00
bus101-12,tarumizu_hp,19:22:00
bus101-12,tarumizu,19:24:00
bus101-12,tarumizu_port,19:26:00
bus101-12,minatohira,19:28:00
bus101-12,miyawaki,19:30:00
bus101-12,shinjo,19:32:00
bus101-12,furue,19:34:00
bus101-12,taiikudai,19:36:00
bus101-12,kokutai,19:38:00
bus101-12,joshiko,19:40:00
bus101-12,kanoya,19:42:00
bus101-12,shiyakusho,19:44:00
bus101-12,kotobuki,19:46:00
bus101-12,higashikasanohara,19:48:00
bus101-12,kushira_shogyo,19:50:00
bus101-12,kushira,19:52:00
bus101-12,higashikushira,19:54:00
bus101-12,osaki,19:56:00
bus101-12,asuparu,19:58:00
bus101-12,oshigiri,20:00:00
bus101-12,chigomatsu,20:02:00
bus101-12,shibushi_hs,20:04:00
bus101-12,shibushi_eki_ue,20:06:00
bus101-12,shibushi_eki_mae,20:08:00
bus101-12,shibushi,20:10:00
bus101-12,shibushi_port_ent,20:12:00
bus101-12,shibushi_port,20:14:00
bus101-13,tarumizu_hp,19:24:00
bus101-13,tarumizu,19:26:00
bus101-13,tarumizu_port,19:28:00
bus101-13,minatohira,19:30:00
bus101-13,miyawaki,19:32:00
bus101-13,shinjo,19:34:00
bus101-13,furue,19:36:00
bus101-13,taiikudai,19:38:00
bus101-13,kokutai,19:40:00
bus101-13,joshiko,19:42:00
bus101-13,kanoya,19:44:00
bus101-13,kotobuki,19:46:00
bus101-13,higashikasanohara,19:48:00
bus101-13,kushira_shogyo,19:50:00
bus101-13,kushira,19:52:00
bus101-13,higashikushira,19:54:00
bus101-13,osaki,19:56:00
bus101-13,oshigiri,19:58:00
bus101-13,chigomatsu,20:00:00
bus101-13,shibushi_hs,20:02:00
bus101-13,shibushi_eki_ue,20:04:00
bus101-13,shibushi_eki_mae,20:06:00
bus101-13,shibushi,20:08:00
bus101-13,shibushi_port_ent,20:10:00
bus101-13,shibushi_port,20:12:00
bus101-14,kanoya,19:26:00
bus101-14,shiyakusho,19:28:00
bus101-14,kotobuki,19:30:00
bus101-14,higashikasanohara,19:32:00
bus101-14,kushira_shogyo,19:34:00
bus101-14,kushira,19:36:00
bus101-14,higashikushira,19:38:00
bus101-14,osaki,19:40:00
bus101-14,asuparu,19:42:00
bus101-14,oshigiri,19:44:00
bus101-14,chigomatsu,19:46:00
bus101-14,shibushi_hs,19:48:00
bus101-14,shibushi_eki_ue,19:50:00
bus101-14,shibushi_eki_mae,19:52:00
bus101-14,shibushi,19:54:00
bus101-14,shibushi_port_ent,19:56:00
bus101-14,shibushi_port,19:58:00
bus101-15,tarumizu_hp,19:28:00
bus101-15,tarumizu,19:30:00
bus101-15,tarumizu_port,19:32:00
bus101-15,minatohira,19:34:00
bus101-15,miyawaki,19:36:00
bus101-15,shinjo,19:38:00
bus101-15,furue,19:40:00
bus101-15,taiikudai,19:42:00
bus101-15,kokutai,19:44:00
bus101-15,joshiko,19:46:00
bus101-15,kanoya,19:48:00
bus101-15,shiyakusho,19:50:00
bus101-15,kotobuki,19:52:00
bus101-15,higashikasanohara,19:54:00
bus101-15,kushira_shogyo,19:56:00
bus101-15,kushira,19:58:00
bus101-15,higashikushira,20:00:00
bus101-15,osaki,20:02:00
bus101-15,asuparu,20:04:00
bus101-15,oshigiri,20:06:00
bus101-15,chigomatsu,20:08:00
bus101-15,shibushi_hs,20:10:00
bus101-15,shibushi_eki_ue,20:12:00
bus101-15,shibushi_eki_mae,20:14:00
bus101-15,shibushi,20:16:00
bus101-15,shibushi_port_ent,20:18:00
bus101-15,shibushi_port,20:20:00
bus101-16,tarumizu_hp,19:30:00
bus101-16,tarumizu,19:32:00
bus101-16,tarumizu_port,19:34:00
bus101-16,minatohira,19:36:00
bus101-16,miyawaki,19:38:00
bus101-16,shinjo,19:40:00
bus101-16,furue,19:42:00
bus101-16,taiikudai,19:44:00
bus101-16,kokutai,19:46:00
bus101-16,joshiko,19:48:00
bus101-16,kanoya,19:50:00
bus101-16,kotobuki,19:52:00
bus101-16,higashikasanohara,19:54:00
bus101-16,kushira_shogyo,19:56:00
bus101-16,kushira,19:58:00
bus101-16,higashikushira,20:00:00
bus101-16,osaki,20:02:00
bus101-16,oshigiri,20:04:00
bus101-16,chigomatsu,20:06:00
bus101-16,shibushi_hs,20:08:00
bus101-16,shibushi_eki_ue,20:10:00
bus101-16,shibushi_eki_mae,20:12:00
bus101-16,shibushi,20:14:00
bus101-16,shibushi_port_ent,20:16:00
bus101-16,shibushi_port,20:18:00
bus101-17,kanoya,19:32:00
bus101-17,shiyakusho,19:34:00
bus101-17,kotobuki,19:36:00
bus101-17,higashikasanohara,19:38:00
bus101-17,kushira_shogyo,19:40:00
bus101-17,kushira,19:42:00
bus101-17,higashikushira,19:44:00
bus101-17,osaki,19:46:00
